cve_id,risk_score,cvss,epss,kev,exploitation_probability
CVE-2026-62616,7.2,,0.00263,False,0
CVE-2026-62540,7.2,,0.00342,False,0
CVE-2026-62459,7.2,,0.00214,False,0
CVE-2026-70705,7.1,,0.00127,False,0
CVE-2026-70680,7.1,,0.00364,False,0
CVE-2026-62627,7.1,,0.00242,False,0
CVE-2026-62601,7.1,,0.00303,False,0
CVE-2026-62587,7.1,,0.003,False,0
CVE-2026-62537,7.1,,0.00149,False,0
CVE-2026-62536,7.1,,0.00116,False,0
CVE-2026-62522,7.1,,0.00204,False,0
CVE-2026-62458,7.1,,0.00263,False,0
CVE-2026-78140,7.0,,,False,0
CVE-2026-19565,7.0,,,False,0
CVE-2026-75922,7.0,,,False,0
CVE-2026-10053,7.0,,0.00715,False,0
CVE-2026-66917,7.0,,0.00518,False,0
CVE-2026-66916,7.0,,0.0043,False,0
CVE-2026-9769,7.0,,,False,0
CVE-2026-70697,7.0,,0.001,False,0
CVE-2026-70676,7.0,,0.00267,False,0
CVE-2026-4671,7.0,7.5,,False,0
CVE-2026-78115,7.0,5.4,40.1,False,0
CVE-2026-78112,7.0,6.3,33.3,False,0
CVE-2026-64560,7.0,7.8,12.0,False,0
CVE-2026-78063,7.0,7.4,2.75,False,0
CVE-2026-78062,7.0,7.3,49.5,False,0
CVE-2026-78060,7.0,4.3,47.0,False,0
CVE-2026-78059,7.0,4.3,47.0,False,0
CVE-2026-78122,7.0,7.4,30.9,False,0
CVE-2026-78136,7.0,7.8,21.3,False,0
CVE-2026-78054,7.0,4.3,47.0,False,0
CVE-2026-16149,7.0,8.8,59.1,False,0
CVE-2026-78051,7.0,5.3,53.2,False,0
CVE-2026-18027,7.0,6.5,86.7,False,0
CVE-2026-0551,7.0,8.8,74.9,False,0
CVE-2026-47630,7.0,,14.1,False,0
CVE-2026-74252,7.0,,33.5,False,0
CVE-2026-0740,7.0,,62.9,False,0
CVE-2026-66747,7.0,,57.9,False,0
CVE-2026-53525,7.0,,43.2,False,0
CVE-2026-53499,7.0,,15.8,False,0
CVE-2026-76876,7.0,,28.1,False,0
CVE-2026-77810,7.0,,34.7,False,0
CVE-2026-67361,7.0,,16.5,False,0
CVE-2026-67358,7.0,,13.6,False,0
CVE-2026-76564,7.0,,25.8,False,0
CVE-2026-76565,7.0,,25.8,False,0
CVE-2026-59654,7.0,,22.6,False,0
CVE-2026-76612,7.0,,34.7,False,0
CVE-2026-77759,7.0,,32.0,False,0
CVE-2026-59318,7.0,,16.8,False,0
CVE-2026-41567,7.0,,16.1,False,0
CVE-2026-73267,7.0,7.7,33.4,False,0
CVE-2026-70698,6.7,,0.00157,False,0
CVE-2026-62475,6.6,,0.00386,False,0
CVE-2026-70720,6.5,,0.00371,False,0
CVE-2026-62578,6.5,,0.00182,False,0
CVE-2026-62576,6.5,,0.00219,False,0
CVE-2026-62572,6.5,,0.00151,False,0
CVE-2026-62555,6.5,,0.00289,False,0
CVE-2026-62523,6.5,,0.00268,False,0
CVE-2026-62506,6.5,,0.00371,False,0
CVE-2026-70712,6.4,,0.00127,False,0
CVE-2026-70693,6.3,,0.00108,False,0
CVE-2026-62558,6.3,,0.00125,False,0
CVE-2026-62568,6.1,,0.00238,False,0
CVE-2026-62499,6.1,,0.00253,False,0
CVE-2026-70726,6.0,,0.00155,False,0
CVE-2026-70716,5.9,,0.00281,False,0
CVE-2026-70677,5.9,,0.0024,False,0
CVE-2026-62573,5.5,,0.00118,False,0
CVE-2026-62564,5.5,,0.00145,False,0
CVE-2026-62553,5.5,,0.00145,False,0
CVE-2026-62603,5.4,,0.00228,False,0
CVE-2026-70727,5.3,,0.00316,False,0
CVE-2026-70679,5.3,,0.00297,False,0
CVE-2026-62579,5.3,,0.00316,False,0
CVE-2026-62566,5.3,,0.00316,False,0
CVE-2026-62510,5.3,,0.00316,False,0
CVE-2026-62509,5.3,,0.00316,False,0
CVE-2026-78183,5.0,,,False,0
CVE-2026-50540,5.0,,0.00378,False,0
CVE-2026-41992,5.0,,0.00335,False,0
CVE-2026-8630,5.0,,,False,0
CVE-2026-77088,5.0,,,False,0
CVE-2026-74793,5.0,,,False,0
CVE-2026-6827,5.0,,,False,0
CVE-2026-5751,5.0,,,False,0
CVE-2026-5389,5.0,,,False,0
CVE-2026-62460,5.0,,0.00295,False,0
CVE-2026-70709,4.8,,0.00177,False,0
CVE-2026-62520,4.8,,0.00229,False,0
CVE-2026-62575,4.7,,0.001,False,0
CVE-2026-70683,4.3,,0.00263,False,0
CVE-2026-78061,4.12,6.3,36.6,False,0
CVE-2026-70714,4.1,,0.00119,False,0
CVE-2026-70719,4.0,,0.0016,False,0
CVE-2026-62584,4.0,,0.00126,False,0
CVE-2026-62532,3.8,,0.00257,False,0
CVE-2026-70682,3.7,,0.00208,False,0
CVE-2026-62533,3.7,,0.00258,False,0
CVE-2026-70711,3.6,,0.00124,False,0
CVE-2026-62529,3.5,,0.00235,False,0
CVE-2026-62569,3.4,,0.00134,False,0
CVE-2026-62577,3.3,,0.00108,False,0
CVE-2026-62526,3.3,,0.00253,False,0
CVE-2026-62606,3.1,,0.0023,False,0
CVE-2026-62604,3.1,,0.00192,False,0
CVE-2026-62461,3.1,,0.00196,False,0
CVE-2026-62583,3.0,,0.00117,False,0
CVE-2026-62570,3.0,,0.00117,False,0
CVE-2026-62511,3.0,,0.00097,False,0
CVE-2026-76131,2.91,5.3,19.8,False,0
CVE-2026-62580,2.6,,0.00144,False,0
CVE-2026-78049,2.37,,62.4,False,0
CVE-2026-67442,2.0,,0.00305,False,0
CVE-2026-53524,1.95,,48.4,False,0
CVE-2026-49360,1.85,,44.9,False,0
CVE-2026-76137,1.85,3.3,10.9,False,0
CVE-2026-59279,1.66,,38.6,False,0
CVE-2026-19883,1.61,,36.9,False,0
CVE-2026-77775,1.59,,36.3,False,0
CVE-2026-50290,1.57,,35.6,False,0
CVE-2026-75027,1.53,,34.2,False,0
CVE-2026-77776,1.53,,34.5,False,0
CVE-2026-77003,1.44,,18.0,False,0
CVE-2026-27462,1.44,,31.4,False,0
CVE-2026-77781,1.41,,23.8,False,0
CVE-2026-53541,1.38,,22.8,False,0
CVE-2026-50288,1.33,,27.6,False,0
CVE-2026-30866,1.31,,27.1,False,0
CVE-2026-75866,1.29,,19.8,False,0
CVE-2026-75870,1.29,,19.8,False,0
CVE-2026-76057,1.26,,25.4,False,0
CVE-2026-27463,1.25,,25.0,False,0
CVE-2026-76074,1.2,,23.3,False,0
CVE-2026-77029,1.18,,15.9,False,0
CVE-2026-19848,1.17,,22.3,False,0
CVE-2026-74730,1.16,,22.0,False,0
CVE-2026-74726,1.16,,22.0,False,0
CVE-2026-74732,1.13,,20.9,False,0
CVE-2026-74725,1.13,,20.9,False,0
CVE-2026-77115,1.12,,20.8,False,0
CVE-2026-74727,1.12,,20.6,False,0
CVE-2026-74728,1.12,,20.6,False,0
CVE-2026-74724,1.11,,20.5,False,0
CVE-2026-74729,1.09,,19.8,False,0
CVE-2026-74733,1.09,,19.8,False,0
CVE-2026-74731,1.09,,19.8,False,0
CVE-2026-48106,0.97,,15.7,False,0
CVE-2026-59308,0.97,,15.8,False,0
